日期,幣別,即期買入匯率,即期賣出匯率
20211104,ZAR,1.785,1.865
20211104,SEK,3.21,3.31
20211104,NZD,19.81,20.01
20211104,THB,0.8181,0.8581
20211104,EUR,32.03,32.43
20211104,CNY,4.331,4.381
20211103,USD,27.8,27.9
20211103,HKD,3.549,3.609
20211103,GBP,37.75,38.15
20211103,AUD,20.63,20.83
20211103,CAD,22.33,22.53
20211103,SGD,20.55,20.73
20211103,CHF,30.34,30.59
20211103,JPY,0.2425,0.2465
20211103,ZAR,1.768,1.848
20211103,SEK,3.2,3.3
20211103,NZD,19.77,19.97
20211103,THB,0.821,0.861
20211103,EUR,32.06,32.46
20211103,CNY,4.327,4.377
20211102,USD,27.795,27.895
20211102,HKD,3.548,3.608
20211102,GBP,37.85,38.25
20211102,AUD,20.7,20.9
20211102,CAD,22.38,22.58
20211102,SGD,20.58,20.76
20211102,CHF,30.46,30.71
20211102,JPY,0.243,0.247
20211102,ZAR,1.771,1.851
20211102,SEK,3.22,3.32
20211102,NZD,19.88,20.08
20211102,THB,0.8224,0.8624
20211102,EUR,32.13,32.53
20211102,CNY,4.328,4.378
20211101,USD,27.795,27.895
20211101,HKD,3.548,3.608
20211101,GBP,37.83,38.23
20211101,AUD,20.76,20.96
20211101,CAD,22.36,22.56
20211101,SGD,20.53,20.71
20211101,CHF,30.25,30.5
20211101,JPY,0.2414,0.2454
20211101,ZAR,1.777,1.857
20211101,SEK,3.19,3.29
20211101,NZD,19.86,20.06
20211101,THB,0.8178,0.8578
20211101,EUR,32,32.4
20211101,CNY,4.324,4.374
20211029,USD,27.76,27.86
20211029,HKD,3.546,3.606
20211029,GBP,38.16,38.56
20211029,AUD,20.88,21.08
20211029,CAD,22.44,22.64
20211029,SGD,20.61,20.79
20211029,CHF,30.4,30.65
20211029,JPY,0.2428,0.2468
20211029,ZAR,1.786,1.866
20211029,SEK,3.22,3.32
20211029,NZD,19.91,20.11
20211029,THB,0.8236,0.8636
20211029,EUR,32.26,32.66
20211029,CNY,4.328,4.378
20211028,USD,27.77,27.87
20211028,HKD,3.547,3.607
20211028,GBP,38.1,38.5
20211028,AUD,20.81,21.01
20211028,CAD,22.39,22.59
20211028,SGD,20.57,20.75
20211028,CHF,30.19,30.44
20211028,JPY,0.243,0.247
20211028,ZAR,1.804,1.884
20211028,SEK,3.2,3.3
20211028,NZD,19.88,20.08
20211028,THB,0.8209,0.8609
20211028,EUR,32.1,32.5
20211028,CNY,4.325,4.375
20211027,USD,27.76,27.86
20211027,HKD,3.545,3.605
